4/27/2020 12:00:00 AM | -99.00%              | Prev: 1.0 gold | Now: 0.01 
4/28/2020 12:00:00 AM | 0%              | Prev: 0.01 gold | Now: 0.01 
4/30/2020 12:00:00 AM | 4999900%              | Prev: 0.01 gold | Now: 500.0 
5/2/2020 12:00:00 AM | -100.00%              | Prev: 500.0 gold | Now: 0.01 
5/3/2020 12:00:00 AM | 0%              | Prev: 0.01 gold | Now: 0.01 
5/4/2020 12:00:00 AM | 0%              | Prev: 0.01 gold | Now: 0.01 
5/5/2020 12:00:00 AM | 0%              | Prev: 0.01 gold | Now: 0.01 
5/6/2020 12:00:00 AM | 0%              | Prev: 0.01 gold | Now: 0.01 
5/7/2020 12:00:00 AM | 0%              | Prev: 0.01 gold | Now: 0.01 
5/9/2020 12:00:00 AM | 1499900%              | Prev: 0.01 gold | Now: 150.0 
5/11/2020 12:00:00 AM | -100.00%              | Prev: 150.0 gold | Now: 0.01 
5/13/2020 12:00:00 AM | 0%              | Prev: 0.01 gold | Now: 0.01 
5/14/2020 12:00:00 AM | 0%              | Prev: 0.01 gold | Now: 0.01 
5/15/2020 12:00:00 AM | 0%              | Prev: 0.01 gold | Now: 0.01 
5/16/2020 12:00:00 AM | 0%              | Prev: 0.01 gold | Now: 0.01 
5/17/2020 12:00:00 AM | 0%              | Prev: 0.01 gold | Now: 0.01 
5/19/2020 12:00:00 AM | 0%              | Prev: 0.01 gold | Now: 0.01 
5/20/2020 12:00:00 AM | 0%              | Prev: 0.01 gold | Now: 0.01 
5/22/2020 12:00:00 AM | 0%              | Prev: 0.01 gold | Now: 0.01 
5/23/2020 12:00:00 AM | 1999900%              | Prev: 0.01 gold | Now: 200.0 
5/24/2020 12:00:00 AM | -100.00%              | Prev: 200.0 gold | Now: 0.01 
5/25/2020 12:00:00 AM | 0%              | Prev: 0.01 gold | Now: 0.01 
5/26/2020 12:00:00 AM | 599900%              | Prev: 0.01 gold | Now: 60.0 
5/27/2020 12:00:00 AM | -100.00%              | Prev: 60.0 gold | Now: 0.01 
5/28/2020 12:00:00 AM | 0%              | Prev: 0.01 gold | Now: 0.01 
5/29/2020 12:00:00 AM | 0%              | Prev: 0.01 gold | Now: 0.01 
5/31/2020 12:00:00 AM | 0%              | Prev: 0.01 gold | Now: 0.01 
6/1/2020 12:00:00 AM | 0%              | Prev: 0.01 gold | Now: 0.01 
6/2/2020 12:00:00 AM | 0%              | Prev: 0.01 gold | Now: 0.01 
6/3/2020 12:00:00 AM | 369900%              | Prev: 0.01 gold | Now: 37.0 
6/5/2020 12:00:00 AM | -100.00%              | Prev: 37.0 gold | Now: 0.01 
6/6/2020 12:00:00 AM | 5999900%              | Prev: 0.01 gold | Now: 600.0 
6/7/2020 12:00:00 AM | -100.00%              | Prev: 600.0 gold | Now: 0.01 
6/8/2020 12:00:00 AM | 0%              | Prev: 0.01 gold | Now: 0.01 
6/9/2020 12:00:00 AM | 0%              | Prev: 0.01 gold | Now: 0.01 
6/10/2020 12:00:00 AM | 0%              | Prev: 0.01 gold | Now: 0.01 
6/12/2020 12:00:00 AM | 0%              | Prev: 0.01 gold | Now: 0.01 
6/16/2020 12:00:00 AM | 0%              | Prev: 0.01 gold | Now: 0.01 
6/19/2020 12:00:00 AM | 9999900%              | Prev: 0.01 gold | Now: 1000.0 
6/21/2020 12:00:00 AM | -100.00%              | Prev: 1000.0 gold | Now: 0.01 
6/22/2020 12:00:00 AM | 0%              | Prev: 0.01 gold | Now: 0.01 
6/24/2020 12:00:00 AM | 0%              | Prev: 0.01 gold | Now: 0.01 
6/25/2020 12:00:00 AM | 0%              | Prev: 0.01 gold | Now: 0.01 
6/26/2020 12:00:00 AM | 0%              | Prev: 0.01 gold | Now: 0.01 
